freq,unit,na_item,geo,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,CLV_PCH_PRE,B1GQ,SE,1.1,2.3,4.4,2.1,1.9,1.8,2.6,-1.9,5.2,1.3,-0.2,0.8
A,CLV_PCH_PRE_HAB,B1GQ,SE,0.3,1.3,3.3,0.9,0.4,0.6,1.5,-2.6,4.6,0.2,-0.9,0.5
