freq,indic_de,geo,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
A,GROW,SE,26622.0,44061.0,39120.0,46359.0,67693.0,77306.0,70582.0,49686.0,38998.0,72599.0,76859.0,34208.0,13723.0,14302.0,32984.0,31980.0,27717.0,30792.0,17325.0,18833.0,14873.0,5071.0,4450.0,3089.0,12056.0,15506.0,23380.0,32570.0,44799.0,68151.0,63591.0,53490.0,47893.0,53096.0,71272.0,21115.0,7003.0,3126.0,6697.0,7104.0,21366.0,26336.0,31660.0,34882.0,35722.0,36360.0,65505.0,69670.0,73420.0,84335.0,74888.0,67285.0,73038.0,88971.0,102491.0,103662.0,144136.0,125089.0,109943.0,97404.0,51706.0,73031.0,69230.0,30151.0,36003.0,
A,GROWRT,SE,3.6,5.9,5.2,6.1,8.8,10.0,9.0,6.3,4.9,9.1,9.6,4.2,1.7,1.8,4.0,3.9,3.4,3.7,2.1,2.3,1.8,0.6,0.5,0.4,1.4,1.9,2.8,3.9,5.3,8.0,7.4,6.2,5.5,6.1,8.1,2.4,0.8,0.4,0.8,0.8,2.4,3.0,3.5,3.9,4.0,4.0,7.2,7.6,8.0,9.1,8.0,7.1,7.7,9.3,10.6,10.6,14.5,12.4,10.8,9.5,5.0,7.0,6.6,2.9,3.4,
A,JAN,SE,7471345.0,7497967.0,7542028.0,7581148.0,7627507.0,7695200.0,7772506.0,7843088.0,7892774.0,7931772.0,8004371.0,8081230.0,8115438.0,8129161.0,8143463.0,8176447.0,8208427.0,8236144.0,8266936.0,8284261.0,8303094.0,8317967.0,8323038.0,8327488.0,8330577.0,8342633.0,8358139.0,8381519.0,8414089.0,8458888.0,8527039.0,8590630.0,8644120.0,8692013.0,8745109.0,8816381.0,8837496.0,8844499.0,8847625.0,8854322.0,8861426.0,8882792.0,8909128.0,8940788.0,8975670.0,9011392.0,9047752.0,9113257.0,9182927.0,9256347.0,9340682.0,9415570.0,9482855.0,9555893.0,9644864.0,9747355.0,9851017.0,9995153.0,10120242.0,10230185.0,10327589.0,10379295.0,10452326.0,10521556.0,10551707.0,10587710.0
A,LBIRTH,SE,102219.0,104501.0,107284.0,112903.0,122664.0,122806.0,123354.0,121360.0,113087.0,107622.0,110149.0,114484.0,112273.0,109663.0,109874.0,103632.0,98345.0,96057.0,93222.0,96255.0,97064.0,94065.0,92748.0,91780.0,93889.0,98463.0,101950.0,104699.0,112080.0,116023.0,123938.0,123737.0,122848.0,117998.0,112257.0,103422.0,95297.0,90502.0,89028.0,88173.0,90441.0,91466.0,95815.0,99157.0,100928.0,101346.0,105913.0,107421.0,109301.0,111801.0,115641.0,111770.0,113177.0,113593.0,114907.0,114870.0,117425.0,115416.0,115832.0,114523.0,113077.0,114263.0,104734.0,100051.0,98451.0,
A,MAVG,SE,3733945.0,3751580.0,3772646.0,3793976.0,3823298.0,3861685.0,3900822.0,3930697.0,3950834.0,3978007.0,4016188.0,4042255.0,4050017.0,4052657.0,4060832.0,4074470.0,4086912.0,4098546.0,4106985.0,4112501.0,4117700.0,4119233.0,4117993.0,4116750.0,4118348.0,4123833.0,4132313.0,4145051.0,4164233.0,4193981.0,4228049.0,4257320.0,4282604.0,4307770.0,4338604.0,4361163.0,4367894.0,4370815.0,4373766.0,4377869.0,4386436.0,4400599.0,4417776.0,4436882.0,4456484.0,4476431.0,4505037.0,4543722.0,4583816.0,4626362.0,4669629.0,4708539.0,4746370.0,4790131.0,4843299.0,4901603.0,4972157.0,5048005.0,5112550.0,5169126.0,5209331.0,5241777.0,5279516.0,5305422.0,,
A,MDEATH,SE,,,,,,,,,44200.0,45039.0,43409.0,45561.0,46010.0,47127.0,47532.0,48327.0,49633.0,48663.0,49270.0,49953.0,49822.0,49729.0,49016.0,48987.0,48505.0,50044.0,49551.0,49338.0,50417.0,47845.0,49054.0,49144.0,48454.0,49047.0,46585.0,47601.0,47118.0,46710.0,46619.0,46579.0,45675.0,45431.0,45780.0,45338.0,43914.0,44788.0,44177.0,43970.0,44060.0,43692.0,43900.0,43594.0,44285.0,43660.0,43382.0,44485.0,44421.0,44856.0,45416.0,44026.0,49381.0,46484.0,47502.0,47480.0,,
A,MIGT,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147811.0,155293.0,167210.0,179034.0,191359.0,209449.0,192885.0,180258.0,167083.0,134627.0,147294.0,160417.0,171353.0,201718.0,
A,MIGTRT,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6,16.3,17.4,18.5,19.5,21.1,19.2,17.7,16.3,13.0,14.1,15.3,16.3,19.1,
A,MJAN,SE,3727770.0,3740119.0,3763040.0,3782252.0,3805699.0,3840897.0,3882473.0,3919170.0,3942223.0,3959444.0,3996569.0,4035806.0,4048703.0,4051331.0,4053982.0,4067681.0,4081259.0,4092564.0,4104527.0,4109442.0,4115559.0,4119840.0,4118626.0,4117360.0,4116140.0,4120555.0,4127110.0,4137515.0,4152586.0,4175880.0,4212081.0,4244017.0,4270623.0,4294585.0,4320954.0,4356254.0,4366071.0,4369717.0,4371913.0,4375619.0,4380118.0,4392753.0,4408445.0,4427107.0,4446656.0,4466311.0,4486550.0,4523523.0,4563921.0,4603710.0,4649014.0,4690244.0,4726834.0,4765905.0,4814357.0,4872240.0,4930966.0,5013347.0,5082662.0,5142438.0,5195814.0,5222847.0,5260707.0,5298324.0,5312519.0,
A,MLBIRTH,SE,,,,,,,,,,,,,,,,,,,47800.0,,,,,47300.0,48300.0,50700.0,52400.0,53600.0,57800.0,59700.0,63600.0,63700.0,63200.0,60300.0,57300.0,53200.0,48700.0,46500.0,45900.0,45200.0,46600.0,47100.0,49200.0,51100.0,51975.0,52036.0,54483.0,55259.0,56352.0,57564.0,59385.0,57205.0,58171.0,58472.0,59098.0,59502.0,60199.0,59256.0,59534.0,59002.0,58255.0,58485.0,53876.0,51249.0,,
A,NATGROW,SE,27126.0,30946.0,30493.0,36443.0,46003.0,44612.0,44914.0,41577.0,30623.0,24284.0,30133.0,31750.0,28217.0,24023.0,23558.0,15424.0,7668.0,7857.0,3541.0,5181.0,5267.0,2031.0,2078.0,990.0,3407.0,4431.0,8655.0,11392.0,15337.0,23913.0,28777.0,28535.0,28138.0,20990.0,20413.0,9467.0,1164.0,-2824.0,-4243.0,-6553.0,-3020.0,-2286.0,806.0,6196.0,10396.0,9636.0,14736.0,15692.0,17852.0,21721.0,25154.0,21832.0,21239.0,23191.0,25931.0,23963.0,26443.0,23444.0,23647.0,25757.0,14953.0,22305.0,9997.0,5666.0,7183.0,
A,NATGROWRT,SE,3.6,4.1,4.0,4.8,6.0,5.8,5.8,5.3,3.9,3.0,3.7,3.9,3.5,3.0,2.9,1.9,0.9,1.0,0.4,0.6,0.6,0.2,0.2,0.1,0.4,0.5,1.0,1.4,1.8,2.8,3.4,3.3,3.2,2.4,2.3,1.1,0.1,-0.3,-0.5,-0.7,-0.3,-0.3,0.1,0.7,1.2,1.1,1.6,1.7,1.9,2.3,2.7,2.3,2.2,2.4,2.7,2.4,2.7,2.3,2.3,2.5,1.4,2.1,1.0,0.5,0.7,
A,NATT,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201708.0,205115.0,203995.0,203883.0,205777.0,208407.0,207388.0,208017.0,203289.0,211201.0,206221.0,199471.0,194436.0,189719.0,
A,NATTRT,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3,21.5,21.2,21.0,21.0,21.0,20.6,20.4,19.8,20.4,19.8,19.0,18.5,17.9,
A,POPSHARE,SE,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2.0,2.0,2.0,2.0,,,,,
A,POPSHARE_EU27_2020,SE,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.2,2.2,2.2,2.2,2.2,2.2,2.3,2.3,2.3,2.3,2.3,2.4,2.3,
A,POPT,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349519.0,360408.0,371205.0,382917.0,397136.0,417856.0,400273.0,388275.0,370372.0,345828.0,353515.0,359888.0,365789.0,391437.0,
A,POPTRT,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,37.9,38.7,39.5,40.5,42.1,39.8,38.2,36.0,33.4,33.9,34.3,34.7,37.0,
